title,releaseDate,genre,language
The Quiet One,2019-06-21,"Documentary, Music",English
Barbara,2018-10-12,"Biography, Drama, Music",French (France)
Eat That Question: Frank Zappa in His Own Words,2016-06-24,"Documentary, Music",English
The Wedding,2018-12-14,"Drama, Romance, Lgbtq+",English
Dog,2022-02-18,Comedy,English
The Ballad of Buster Scruggs,2018-11-08,"Western, Comedy, Drama",English
Mind Game,2018-02-16,"Adventure, Comedy, Mystery & thriller",Japanese
Don't Think Twice,2016-07-22,"Comedy, Drama",English
Victoria,2015-10-09,"Mystery & thriller, Crime, Drama",English
The Obituary of Tunde Johnson,2021-02-26,"Drama, Mystery & thriller, Lgbtq+",English
The Other Side of Heaven 2: Fire of Faith,2019-06-28,"History, Drama, Biography, Adventure",English
Western Stars,2019-10-25,"Documentary, Music",English
Bill & Ted Face the Music,2020-08-28,"Comedy, Adventure, Fantasy",English
Detective Knight: Redemption,2022-12-09,"Action, Mystery & thriller",English
After Midnight,2020-02-14,Horror,English
Dora and the Lost City of Gold,2019-08-09,"Kids & family, Adventure, Mystery & thriller, Comedy",English
All the Beauty and the Bloodshed,2022-11-23,"Documentary, Biography",English
Operation Curveball,2021-10-08,Comedy,German
Volition,2020-07-10,"Sci-fi, Mystery & thriller",English
Office,2015-09-18,"Musical, Comedy, Drama",Chinese
The Beta Test,2021-11-05,"Mystery & thriller, Comedy",English
The Invisible Man,2020-02-28,"Horror, Mystery & thriller",English
Who We Are: A Chronicle of Racism in America,2022-01-14,Documentary,English
The Reports on Sarah and Saleem,2019-06-12,Drama,Arabic
Spencer,2021-11-05,"Biography, Drama",English
Dragon Ball Super: Broly,2019-01-16,"Action, Adventure, Anime",Japanese
The Wanting Mare,2021-02-05,"Drama, Romance",English
Moss,2018-07-06,"Adventure, Romance",English
John Wick: Chapter 2,2017-02-10,"Action, Mystery & thriller",English
Mogul Mowgli,2021-09-03,Drama,English
Active Measures,2018-08-31,Documentary,English
Hondros,2018-03-02,"Documentary, Biography, War",English
"Quo Vadis, Aida?",2021-03-05,"Drama, War",Bosnian
Elstree 1976,2016-05-06,Documentary,English (United Kingdom)
Swim Team,2017-07-07,Documentary,English
The Silencing,2020-08-14,Mystery & thriller,English
Kajaki,2015-11-13,"War, Drama",English
The Worst Person in the World,2022-02-04,"Comedy, Drama, Romance",Norwegian
The Weasel's Tale,2020-12-11,"Comedy, Drama",Spanish
The Square,2017-10-27,Comedy,English
Fast Color,2019-04-19,"Sci-fi, Mystery & thriller, Drama",English
Jersey,2019-04-18,Drama,Telugu
Wyrm,2022-06-10,Comedy,English
Sorry Angel,2019-02-15,"Romance, Drama, Lgbtq+",French (France)
"Josee, The Tiger and the Fish",2021-07-12,"Romance, Drama, Anime, Animation",Japanese
The Look of Silence,2015-07-17,Documentary,Indonesian
The Miracle Season,2018-04-06,Drama,English
It Follows,2015-03-27,"Horror, Mystery & thriller",English
Cosmos,2016-06-17,"Drama, Mystery & thriller",French (France)
The Gift,2015-08-07,Mystery & thriller,English
1-800-Hot-Nite,2022-11-04,"Comedy, Drama, Adventure",English
21 Bridges,2019-11-22,"Action, Mystery & thriller, Crime, Drama",English
The Courier,2021-03-19,"Mystery & thriller, History, Drama",English
Raiders!,2016-06-17,Documentary,English
"The Night Is Short, Walk On Girl",2018-08-21,"Comedy, Romance, Animation",Japanese
Stop-Zemlia,2022-01-21,"Drama, Romance",Ukrainian
Finding Ophelia,2021-06-18,"Mystery & thriller, Drama, Fantasy",English
The Painter and the Thief,2020-05-22,Documentary,English
Game Night,2018-02-23,"Comedy, Action",English
Hannah,2018-03-09,Drama,English
Freaky,2020-11-13,"Horror, Comedy",English
K.G.F: Chapter 2,2022-04-14,"Action, Crime, Drama",Kannada
Hansan: Rising Dragon,2022-07-29,"Action, Drama, History, War",Korean
Vita Activa: The Spirit of Hannah Arendt,2016-04-06,Documentary,German
Hitchcock/Truffaut,2015-12-02,Documentary,English
Always Shine,2016-11-25,"Mystery & thriller, Drama",English
This Giant Papier-Mâché Boulder Is Actually Really Heavy,2018-01-19,"Action, Adventure, Comedy",English (Australia)
Supersonic,2016-10-26,"Documentary, Music",English (United Kingdom)
Paper & Glue,2021-11-12,Documentary,English
The Third Wife,2019-05-15,Drama,Vietnamese
Gayby Baby,2016-04-01,"Documentary, Lgbtq+",English (Australia)
The Sky Is Pink,2019-10-11,Drama,English
Clouds of Sils Maria,2015-04-10,Drama,English
Don't Breathe,2016-08-26,"Horror, Mystery & thriller",English
Leonor Will Never Die,2022-11-25,Drama,Filipino
Sweat,2021-06-18,Drama,Polish
Infinitum: Subject Unknown,2021-08-06,Sci-fi,English (United Kingdom)
¿Y Cómo Es Él?,2022-04-22,Comedy,Spanish
Floyd Norman: An Animated Life,2016-08-26,Documentary,English
Faith Based,2020-10-09,Comedy,English
The Promise,2017-04-21,"History, Drama, Romance",English
Naples in Veils,2019-04-19,"Drama, Mystery & thriller, Romance",Italian
Theo & Hugo,2017-01-27,"Drama, Romance, Lgbtq+",French (France)
Queen of Katwe,2016-09-30,"Biography, Drama",English
Hatching,2022-04-29,Horror,Finnish
The Grief of Others,2018-11-02,Drama,English
Lady Macbeth,2017-07-14,"History, Drama",English
Monuments,2021-06-04,Comedy,English
Yellow Rose,2020-10-09,"Drama, Music",English
Grass,2019-04-19,Drama,Korean
Held for Ransom,2021-10-15,Drama,Danish
Rat Film,2017-09-15,Documentary,English
Mandy,2018-09-14,"Horror, Mystery & thriller",English
Murder in the Woods,2020-08-14,"Horror, Mystery & thriller",English
The Return of Tanya Tucker: Featuring Brandi Carlile,2022-10-21,"Documentary, Music",English
The Yes Men Are Revolting,2015-06-12,Documentary,English
Oh Lucy!,2018-03-02,"Comedy, Drama",English
Four Hands,2018-09-14,"Mystery & thriller, Drama",German
A Simple Wedding,2020-02-14,"Romance, Comedy",English
The LEGO Movie 2: The Second Part,2019-02-08,"Kids & family, Comedy, Adventure, Action, Animation",English
Khuda Haafiz: Chapter 2 - Agni Pariksha,2022-07-08,"Action, Drama",Hindi
Runway 34,2022-04-29,"Action, Drama, Mystery & thriller",Hindi
Ghostbox Cowboy,2018-11-30,"Comedy, Drama",English
The Scent of Rain & Lightning,2018-02-16,"Mystery & thriller, Western",English
Charm City,2018-10-12,Documentary,English
Those Who Walk Away,2022-02-11,"Horror, Mystery & thriller",English
Hotel Mumbai,2019-03-29,"Mystery & thriller, Drama",English
My Tender Matador,2021-06-04,"Romance, Drama, Lgbtq+",Spanish
Columbus,2017-08-04,Drama,English
Detective Knight: Independence,2023-01-20,"Holiday, Action, Mystery & thriller",English
Appropriate Behavior,2015-01-16,"Comedy, Lgbtq+",English
Buried: The 1982 Alpine Meadows Avalanche,2022-01-14,Documentary,English
The 24 Hour War,2016-11-22,Documentary,English
Unplanned,2019-03-29,"Biography, Drama",English
When Marnie Was There,2015-05-22,"Kids & family, Drama, Fantasy, Mystery & thriller, Anime",Japanese
Bodies Bodies Bodies,2022-08-12,"Mystery & thriller, Horror, Comedy, Drama",English
Court,2015-07-15,Drama,Marathi
Lost Holiday,2019-12-20,Comedy,English
Enforcement,2021-03-19,"Mystery & thriller, Crime, Drama",Danish
A Faithful Man,2019-07-19,"Comedy, Drama, Romance",French (France)
Experimenter,2015-10-16,"Biography, History, Drama",English
Glass Onion: A Knives Out Mystery,2022-11-23,"Mystery & thriller, Comedy, Drama",English
Sputnik,2020-08-14,"Sci-fi, Horror, Mystery & thriller",Russian
A Sinner in Mecca,2015-09-04,"Documentary, Lgbtq+",English
Zombi Child,2020-01-24,"Drama, Horror",French (France)
The Eyes of Orson Welles,2019-03-15,"Documentary, Biography",English (United Kingdom)
The Pathological Optimist,2017-09-29,"Documentary, Biography",English
Father Stu,2022-04-13,"Biography, Drama",English
LA 92,2017-04-28,Documentary,English
Nigerian Prince,2018-10-19,"Drama, Mystery & thriller",English
The Novelist's Film,2022-10-28,Drama,Korean
No Bears,2022-12-23,"Drama, Romance",Persian
Charlotte,2022-04-22,"Drama, Animation, Biography",English
The Work,2017-10-25,Documentary,English
No Ordinary Man,2021-07-16,"Documentary, Music",English
Don't Kill It,2017-03-03,"Horror, Fantasy, Action",English
Alita: Battle Angel,2019-02-14,"Sci-fi, Action, Adventure, Fantasy, Animation",English
Montana Story,2022-05-13,Drama,English
Teacher,2019-08-02,Drama,English
Mummies,2023-02-24,"Kids & family, Comedy, Adventure, Animation",English
While We're Young,2015-04-10,"Comedy, Drama",English
Spotlight,2015-11-20,Drama,English
Moon Manor,2022-02-25,"Comedy, Drama",English
Hearing Is Believing,2017-06-16,"Documentary, Music",English
Spoiler Alert,2022-12-09,"Comedy, Drama, Romance, Lgbtq+",English
Hunt for the Wilderpeople,2016-06-24,"Comedy, Adventure",English (Australia)
Baahubali 2: The Conclusion,2017-04-28,"Action, Adventure, Drama, Fantasy",Telugu
A Tuba to Cuba,2019-02-15,"Documentary, Music",English
Mali Blues,2017-06-30,"Documentary, Music",French (France)
Facing Nolan,2022-05-24,"Documentary, Biography",English
Miss Stevens,2016-09-16,"Comedy, Drama",English
I Lost My Body,2019-11-15,"Fantasy, Drama, Animation",French (France)
Christopher Robin,2018-08-03,"Kids & family, Comedy, Adventure, Fantasy",English
The Girl Who Believes in Miracles,2021-04-02,Drama,English
No Home Movie,2016-04-01,Documentary,French (Canada)
The Confirmation,2016-03-18,"Comedy, Drama",English
Hitler's Hollywood,2018-04-11,Documentary,German
The Way Back,2020-03-06,Drama,English
Terminator: Dark Fate,2019-11-01,"Sci-fi, Action",English
The Image Book,2019-01-25,Documentary,French (France)
2022 Oscar Nominated Shorts - Live Action,2022-02-25,Drama,English
Atlantis,2021-01-22,Drama,Ukrainian
Mr. Roosevelt,2017-10-27,Comedy,English
The Lighthouse,2019-10-25,"Mystery & thriller, Drama",English
The Endless,2018-04-06,"Horror, Sci-fi, Mystery & thriller",English
"No Date, No Signature",2018-08-01,Drama,Persian
The Race to Alaska,2022-05-19,Documentary,English
Hearts and Bones,2020-11-20,Drama,English (Australia)
Mickey and the Bear,2019-11-13,Drama,English
Presenting Princess Shaw,2016-05-27,Documentary,English
The Greatest Beer Run Ever,2022-09-30,"Comedy, Drama",English
"Hail, Caesar!",2016-02-05,Comedy,English
The SpongeBob Movie: Sponge Out of Water,2015-02-06,"Kids & family, Comedy, Adventure",English
Tumbbad,2018-10-12,"Horror, Fantasy",Hindi
From Nowhere,2017-02-17,Drama,English
The Hater,2022-03-18,Comedy,English
Ramen Heads,2018-03-16,Documentary,Japanese
King Richard,2021-11-19,"Biography, Drama",English
The Killing of Kenneth Chamberlain,2021-09-17,"Mystery & thriller, Drama",English
Fresh Dressed,2015-06-26,Documentary,English
A Band Called Impaled Rektum,2018-10-05,"Comedy, Music",Finnish
The Wife,2018-08-17,Drama,English
Arabian Nights: Volume 1 -- The Restless One,2015-12-04,Drama,Portuguese (Brazil)
Human Flow,2017-10-13,Documentary,English
Cunningham,2019-12-13,"Documentary, Biography, Music",English
Good Time,2017-08-25,"Mystery & thriller, Crime, Drama",English
Cold War,2018-12-21,"Romance, Drama",Polish
We Come as Friends,2015-08-14,Documentary,English
Journey's End,2018-03-16,"War, History, Drama",English (United Kingdom)
Mia and the White Lion,2019-04-12,"Kids & family, Drama, Adventure",French (France)
Along With the Gods: The Two Worlds,2017-12-22,"Fantasy, Adventure, Action",Korean
First Reformed,2018-05-18,"Mystery & thriller, Drama",English
Superpower Dogs,2019-03-15,Documentary,English (United Kingdom)
Arctic,2019-02-01,"Adventure, Drama",English
Jane,2017-10-20,Documentary,English
Baby Done,2021-01-22,Comedy,English
Linoleum,2023-02-24,"Comedy, Drama, Sci-fi",English
Ticket to Paradise,2022-10-21,"Romance, Comedy",English
Toni Morrison: The Pieces I Am,2019-06-21,Documentary,English
Joy Ride,2021-10-29,"Comedy, Documentary",English
Meeting Gorbachev,2019-05-03,Documentary,Russian
Good Night Oppy,2022-11-04,Documentary,English
Blame,2018-01-05,Drama,English
McLaren,2017-08-17,Documentary,English
Captain Underpants: The First Epic Movie,2017-06-02,"Kids & family, Comedy, Adventure, Animation",English
5-25-77,2022-09-23,Comedy,English
Half the Picture,2018-06-08,Documentary,English
Brimstone & Glory,2017-10-27,Documentary,Spanish
Class Rank,2018-05-11,Comedy,English
The Last Man on the Moon,2016-02-26,"Documentary, Adventure, Biography",English (United Kingdom)
Bones and All,2022-11-23,"Mystery & thriller, Romance, Drama",English
The Fight,2020-07-31,Documentary,English
Ode to My Father,2015-01-09,Drama,Korean
The Beauty Inside,2015-09-11,"Romance, Comedy, Fantasy",Korean
Happy Bhag Jayegi,2016-08-19,"Romance, Comedy",Hindi
Woodpeckers,2017-09-15,Drama,Spanish
Las Sandinistas!,2018-11-21,"Documentary, War",Spanish
Gaia,2021-06-18,"Horror, Drama, Fantasy",English
10 Cloverfield Lane,2016-03-11,Mystery & thriller,English
Autumn Lights,2016-10-21,"Drama, Mystery & thriller",English
Mary and The Witch's Flower,2018-01-19,"Adventure, Fantasy, Anime",Japanese
Seoul Searching,2016-06-17,"Comedy, Drama",English
Simchas and Sorrows,2022-09-16,"Comedy, Drama, Romance",English
Between Worlds,2018-12-21,Mystery & thriller,English
Capernaum,2018-12-14,Drama,Arabic
Better Watch Out,2017-10-06,"Holiday, Horror, Mystery & thriller, Comedy",English
The 355,2022-01-07,"Action, Mystery & thriller",English
Medusa,2022-07-29,"Horror, Fantasy, Drama, Mystery & thriller",Portuguese (Brazil)
Baden Baden,2016-11-25,"Comedy, Drama",French (France)
Just Don't Think I'll Scream,2020-02-19,"Documentary, Drama",French (France)
Mascarpone,2022-05-06,"Romance, Comedy, Lgbtq+",Italian
Toni Erdmann,2016-12-25,"Comedy, Drama",German
The Jungle Book,2016-04-15,"Kids & family, Adventure, Action, Fantasy",English
Tiny Cinema,2022-09-02,"Horror, Sci-fi, Comedy",English
Baby Driver,2017-06-28,"Action, Mystery & thriller",English
Raw,2017-03-10,"Horror, Drama",French (France)
Four Samosas,2022-12-02,"Comedy, Action, Romance",English
1917,2020-01-10,"War, History, Drama",English
MVP,2022-09-14,Drama,English
Chi-Raq,2015-12-04,"Comedy, Drama",English
Tigers Are Not Afraid,2019-08-23,"Fantasy, Mystery & thriller, Horror",Spanish
Abe & Phil's Last Poker Game,2018-01-12,"Comedy, Drama",English
Chasing Wonders,2021-06-04,Drama,English
Generational Sins,2017-10-06,Drama,English
The Civil Dead,2023-02-03,Comedy,English
For Ahkeem,2017-10-13,Documentary,English
East Side Sushi,2015-09-18,"Comedy, Drama",English
Dunkirk,2017-07-21,"War, History, Drama",English
Test Pattern,2021-02-12,"Drama, Mystery & thriller",English
One Fine Morning,2022-12-09,"Drama, Romance",French (France)
Some Like It Rare,2022-10-07,"Horror, Comedy",French (France)
Jigsaw,2017-10-27,"Horror, Mystery & thriller",English
My Name Is Emily,2017-02-17,Drama,English
The Chambermaid,2019-06-26,Drama,Spanish
Poser,2022-06-03,Drama,English
John Lewis: Good Trouble,2020-07-03,Documentary,English
The Seven Five,2015-05-08,"Documentary, Biography",English
American Murderer,2022-10-21,"Crime, Drama, Mystery & thriller",English
The Nile Hilton Incident,2017-08-11,"Mystery & thriller, Crime, Drama",Arabic
Graduation,2017-04-07,"Drama, Crime",Romanian
Belle,2022-01-14,"Fantasy, Adventure, Anime, Romance, Musical",Japanese
Women Who Kill,2017-07-26,"Comedy, Mystery & thriller, Lgbtq+",English
Bathtubs Over Broadway,2018-11-30,Documentary,English
Downton Abbey: A New Era,2022-05-20,Drama,English
The Alpinist,2021-09-10,Documentary,English
Nomad: In the Footsteps of Bruce Chatwin,2020-08-26,Documentary,English (United Kingdom)
He Never Died,2015-12-18,"Horror, Mystery & thriller",English
The Tashkent Files,2019-04-12,"Drama, Mystery & thriller",Hindi
Gandhi Godse - Ek Yudh,2023-01-26,"Drama, History",Hindi
Stuck,2019-04-19,"Musical, Drama",English
Goodnight Mommy,2015-09-11,"Horror, Mystery & thriller",German
Zero,2018-12-21,"Romance, Comedy",Hindi
Last Cab to Darwin,2016-06-10,"Comedy, Drama",English (Australia)
My Name Is Pauli Murray,2021-09-17,Documentary,English
Cemetery of Splendor,2016-03-04,Drama,Thai
A Cop Movie,2021-10-20,Drama,Spanish
"Confess, Fletch",2022-09-16,"Comedy, Mystery & thriller",English
Truman,2017-04-07,"Comedy, Drama",Spanish (Spain)
The Last Black Man in San Francisco,2019-06-07,Drama,English
Sweaty Betty,2015-11-27,Drama,English
Faults,2015-03-06,"Drama, Mystery & thriller",English
Man in Red Bandana,2017-09-08,Documentary,English
The Good Boss,2022-08-26,"Drama, Comedy",Spanish (Spain)
Gett: The Trial of Viviane Amsalem,2015-02-15,Drama,Hebrew
Dachra,2021-07-09,Horror,Arabic
Ask Dr. Ruth,2019-05-03,Documentary,English
Castle Falls,2021-12-03,"Action, Mystery & thriller",English
Maggie's Plan,2016-05-20,"Romance, Comedy",English
Queenpins,2021-09-10,"Comedy, Crime",English
All Square,2018-10-12,Comedy,English
The Maestro,2019-02-15,"Biography, History, Drama, Music",English
Borg vs. McEnroe,2018-04-13,Drama,English (United Kingdom)
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,2015-02-27,"Documentary, Adventure",English
The Lobster,2016-06-03,"Romance, Comedy, Fantasy, Drama, Sci-fi",English
After Ever Happy,2022-09-07,"Romance, Drama",English
Lost in Paris,2017-06-16,Comedy,English
Radio Dreams,2017-05-19,Comedy,Persian
Wendell & Wild,2022-10-21,"Comedy, Animation, Adventure, Fantasy",English
"Life, Animated",2016-07-01,Documentary,English
Outside In,2018-03-30,Drama,English
After Everything,2018-10-12,"Romance, Comedy",English
The Nightingale,2015-11-06,"Drama, Comedy",Chinese
Funny Story,2019-05-24,"Comedy, Drama, Lgbtq+",English
7 Days,2022-03-25,"Comedy, Drama, Romance",English
Lives Well Lived,2018-02-16,Documentary,English
"Bo Gia (Dad, I'm Sorry)",2021-05-28,"Comedy, Drama",Vietnamese
Jazz Fest: A New Orleans Story,2022-05-13,"Documentary, Music",English
Emergency,2022-05-20,"Comedy, Drama",English
The Search for General Tso,2015-01-02,Documentary,Chinese
Still Alice,2015-01-16,Drama,English
Vitalina Varela,2020-02-21,Drama,Portuguese
Buoyancy,2020-09-11,Drama,English (Australia)
A Prayer Before Dawn,2018-08-10,"Action, Mystery & thriller",English
Faces Places,2017-10-06,Documentary,French (France)
Nureyev: Lifting the Curtain,2019-04-19,Documentary,English (United Kingdom)
Tahara,2022-06-10,Drama,English
Wonder,2017-11-17,Drama,English
At the Heart of Gold: Inside the USA Gymnastics Scandal,2019-05-03,Documentary,English
Flux Gourmet,2022-06-24,Horror,English
Star Trek Beyond,2016-07-22,"Sci-fi, Adventure, Action, Fantasy",English
Monos,2019-09-13,"Mystery & thriller, Adventure",English
Memories of My Father,2022-11-18,Drama,Spanish
What She Said: The Art of Pauline Kael,2019-12-25,Documentary,English
Stonewall,2015-09-25,"History, Drama, Lgbtq+",English
Don't Call Me Son,2016-11-02,Drama,Portuguese (Brazil)
Instant Family,2018-11-16,"Comedy, Drama",English
Funan,2019-06-07,Drama,French (France)
Private Desert,2022-08-26,"Drama, Lgbtq+",Portuguese (Brazil)
The Capote Tapes,2021-09-10,Documentary,English
Raya and the Last Dragon,2021-03-05,"Kids & family, Fantasy, Adventure, Animation",English
Mr. Six,2015-12-24,"Action, Drama",Chinese
Whose Streets?,2017-08-11,Documentary,English
A Crime on the Bayou,2021-06-18,Documentary,English
Afterimage,2017-05-19,"Biography, History, Drama",Polish
A Midsummer Night's Dream,2015-06-22,"Comedy, Fantasy",English
Nine Days,2021-07-30,"Fantasy, Drama",English
The Hand of God,2021-12-03,Drama,Italian
Nasrin,2020-10-01,Documentary,Persian
Zama,2018-04-13,"History, Drama",Spanish
The Girl in the Book,2015-12-11,Drama,English
Bad Axe,2022-11-18,Documentary,English
The Wild Pear Tree,2019-01-30,Drama,Turkish
Violent Night,2022-12-02,"Holiday, Action, Comedy",English
Rams,2016-02-03,"Comedy, Drama",Icelandic
The Divine Fury,2019-08-16,"Horror, Action",Korean
